filename,label
LA_E_6799021_spoof_A15,1
LA_E_4409988_bonafide,0
LA_E_5595530_bonafide,0
LA_E_6732197_spoof_A14,1
LA_E_5532891_bonafide,0
LA_E_2116342_spoof_A18,1
LA_E_9242059_spoof_A08,1
LA_E_7227516_spoof_A09,1
LA_E_1935643_spoof_A08,1
LA_E_3633697_bonafide,0
LA_E_5584532_spoof_A08,1
LA_E_4778030_bonafide,0
LA_E_2718285_spoof_A08,1
LA_E_4315257_spoof_A07,1
LA_E_5065618_spoof_A17,1
LA_E_4730265_spoof_A16,1
LA_E_7925387_bonafide,0
LA_E_5995728_spoof_A11,1
LA_E_5029496_spoof_A09,1
LA_E_1873669_spoof_A18,1
LA_E_1454808_bonafide,0
LA_E_3762789_bonafide,0
LA_E_5896583_spoof_A08,1
LA_E_1467646_bonafide,0
LA_E_1001227_spoof_A11,1
LA_E_2378002_bonafide,0
LA_E_5479419_bonafide,0
LA_E_8117237_bonafide,0
LA_E_8250301_spoof_A19,1
LA_E_9463492_bonafide,0
LA_E_7651481_bonafide,0
LA_E_1819968_bonafide,0
LA_E_4198233_spoof_A08,1
LA_E_5985276_spoof_A08,1
LA_E_6444547_spoof_A14,1
LA_E_1458692_spoof_A13,1
LA_E_6246412_bonafide,0
LA_E_4330071_bonafide,0
LA_E_7828994_spoof_A17,1
LA_E_3382634_bonafide,0
LA_E_1750363_spoof_A15,1
LA_E_7324174_spoof_A13,1
LA_E_6523992_spoof_A07,1
LA_E_3447697_bonafide,0
LA_E_9147976_spoof_A13,1
LA_E_3246561_bonafide,0
LA_E_9894477_bonafide,0
LA_E_4482705_bonafide,0
LA_E_9177164_spoof_A14,1
LA_E_3818661_spoof_A08,1
LA_E_8483637_spoof_A09,1
LA_E_9624906_spoof_A10,1
LA_E_9544290_spoof_A07,1
LA_E_8708073_spoof_A13,1
LA_E_4929270_bonafide,0
LA_E_2727497_spoof_A16,1
LA_E_2177587_spoof_A13,1
LA_E_8004101_bonafide,0
LA_E_1254320_bonafide,0
LA_E_4415459_bonafide,0
LA_E_3828012_spoof_A11,1
LA_E_4224991_spoof_A19,1
LA_E_2005248_spoof_A08,1
LA_E_9400611_spoof_A15,1
LA_E_6609018_bonafide,0
LA_E_8088120_spoof_A14,1
LA_E_8393090_spoof_A11,1
LA_E_6058569_spoof_A17,1
LA_E_9552740_spoof_A16,1
LA_E_5516580_bonafide,0
LA_E_7104932_bonafide,0
LA_E_5059037_bonafide,0
LA_E_3923938_spoof_A10,1
LA_E_4828691_spoof_A14,1
LA_E_3277597_bonafide,0
LA_E_9316708_spoof_A09,1
LA_E_1028101_spoof_A12,1
LA_E_9927919_spoof_A16,1
LA_E_3333982_spoof_A07,1
LA_E_8813542_spoof_A19,1
LA_E_6973146_spoof_A10,1
LA_E_7600027_spoof_A13,1
LA_E_1453284_bonafide,0
LA_E_6523159_bonafide,0
